,species,metabolite,activity,type
0,Absiella_dolichum,Acetate,Production (export),Microbe
1,Absiella_dolichum,Butyrate,Production (export),Microbe
2,Absiella_dolichum,Cellobiose,Consumption (import),Microbe
3,Absiella_dolichum,D-Fructose,Consumption (import),Microbe
4,Absiella_dolichum,D-Galactose,Consumption (import) (-),Microbe
5,Absiella_dolichum,D-Gluconate,Consumption (import) (-),Microbe
6,Absiella_dolichum,D-Glucose,Consumption (import),Microbe
7,Absiella_dolichum,D-Mannose,Consumption (import),Microbe
8,Absiella_dolichum,D-Ribose,Consumption (import),Microbe
9,Absiella_dolichum,Erythritol,Consumption (import) (-),Microbe
10,Absiella_dolichum,Fructan,Macromolecule degradation (-),Microbe
11,Absiella_dolichum,Glycerol,Consumption (import) (-),Microbe
12,Absiella_dolichum,H2S,Production (export) (-),Microbe
13,Absiella_dolichum,Hippurate,Consumption (import) (-),Microbe
14,Absiella_dolichum,L-Lactate,Consumption (import) (-),Microbe
15,Absiella_dolichum,L-Lactate,Production (export),Microbe
16,Absiella_dolichum,L-Sorbose,Consumption (import) (-),Microbe
17,Absiella_dolichum,Maltose,Consumption (import),Microbe
18,Absiella_dolichum,NH3,Production (export),Microbe
19,Absiella_dolichum,Nitrate,Consumption (import) (-),Microbe
20,Absiella_dolichum,Pyruvate,Production (export),Microbe
21,Absiella_dolichum,Pyruvate,Consumption (import) (-),Microbe
22,Absiella_dolichum,Starch,Macromolecule degradation,Microbe
23,Absiella_dolichum,Succinate,Production (export),Microbe
24,Absiella_dolichum,Sucrose,Consumption (import),Microbe
25,Acetoanaerobium_sticklandii,2-Aminobutyric acid,Production (export),Microbe
26,Acetoanaerobium_sticklandii,5-Aminovalerate,Production (export),Microbe
27,Acetoanaerobium_sticklandii,Acetate,Production (export),Microbe
28,Acetoanaerobium_sticklandii,Butyrate,Production (export),Microbe
29,Acetoanaerobium_sticklandii,Indole-3-acetate,Production (export),Microbe
30,Acetoanaerobium_sticklandii,Isobutyrate,Production (export),Microbe
31,Acetoanaerobium_sticklandii,Isovalerate,Production (export),Microbe
32,Acetoanaerobium_sticklandii,L-Phenylalanine,Consumption (import),Microbe
33,Acetoanaerobium_sticklandii,L-Proline,Consumption (import),Microbe
34,Acetoanaerobium_sticklandii,L-Tryptophan,Consumption (import),Microbe
35,Acetoanaerobium_sticklandii,L-Tyrosine,Consumption (import),Microbe
36,Acetoanaerobium_sticklandii,NH3,Production (export),Microbe
37,Acetoanaerobium_sticklandii,Phenylacetate,Production (export),Microbe
38,Acetoanaerobium_sticklandii,Propanoate,Production (export),Microbe
39,Acetobacter_pasteurianus,Acetate,Production (export),Microbe
40,Acetobacter_pasteurianus,Ethanol,Consumption (import),Microbe
41,Acetobacter_pasteurianus,L-Lactate,Consumption (import),Microbe
42,Acetobacter_pasteurianus,Pectin,Macromolecule degradation,Microbe
43,Acetobacterium_woodii,4-Aminobenzoate,Consumption (import),Microbe
44,Acetobacterium_woodii,Acetate,Production (export),Microbe
45,Acetobacterium_woodii,Adenosylcobalamin,Consumption (import),Microbe
46,Acetobacterium_woodii,Biotin,Consumption (import),Microbe
47,Acetobacterium_woodii,Butanol,Consumption (import),Microbe
48,Acetobacterium_woodii,CO2,Consumption (import),Microbe
49,Acetobacterium_woodii,D-Fructose,Consumption (import),Microbe
50,Acetobacterium_woodii,D-Glucose,Consumption (import),Microbe
51,Acetobacterium_woodii,D-Glycerate,Consumption (import),Microbe
52,Acetobacterium_woodii,Ethanol,"Consumption (import), Production (export)",Microbe
53,Acetobacterium_woodii,Folic acid,Consumption (import),Microbe
54,Acetobacterium_woodii,Formaldehyde,Consumption (import),Microbe
55,Acetobacterium_woodii,Formate,Consumption (import),Microbe
56,Acetobacterium_woodii,H2,"Consumption (import), Production (export)",Microbe
57,Acetobacterium_woodii,L-Alanine,Production (export),Microbe
58,Acetobacterium_woodii,L-Lactate,Consumption (import),Microbe
59,Acetobacterium_woodii,Methane,Production (export),Microbe
60,Acetobacterium_woodii,Methanol,Consumption (import),Microbe
61,Acetobacterium_woodii,Niacin,Consumption (import),Microbe
62,Acetobacterium_woodii,Pantothenic acid,Consumption (import),Microbe
63,Acetobacterium_woodii,Propanol,Consumption (import),Microbe
64,Acetobacterium_woodii,Pyridoxal,Consumption (import),Microbe
65,Acetobacterium_woodii,Riboflavin,Consumption (import),Microbe
66,Acetobacterium_woodii,Succinate,Production (export),Microbe
67,Acetobacterium_woodii,Thiamine,Consumption (import),Microbe
68,Acetohalobium_arabaticum,Acetate,Production (export),Microbe
69,Acetohalobium_arabaticum,Betaine,Consumption (import),Microbe
70,Acetohalobium_arabaticum,CO2,Consumption (import),Microbe
71,Acetohalobium_arabaticum,Carbon monoxide,Consumption (import),Microbe
72,Acetohalobium_arabaticum,Formate,Consumption (import),Microbe
73,Acetohalobium_arabaticum,H2,Consumption (import),Microbe
74,Acetohalobium_arabaticum,L-Asparagine,Consumption (import),Microbe
75,Acetohalobium_arabaticum,L-Aspartate,Consumption (import),Microbe
76,Acetohalobium_arabaticum,L-Glutamate,Consumption (import),Microbe
77,Acetohalobium_arabaticum,L-Histidine,Consumption (import),Microbe
78,Acetohalobium_arabaticum,L-Lactate,Consumption (import),Microbe
79,Acetohalobium_arabaticum,Pyruvate,Consumption (import),Microbe
80,Acetohalobium_arabaticum,Trimethylamine,Consumption (import),Microbe
81,Acholeplasma_laidlawii,Acetate,Production (export),Microbe
82,Acholeplasma_laidlawii,D-Fructose,Consumption (import),Microbe
83,Acholeplasma_laidlawii,D-Galactose,Consumption (import),Microbe
84,Acholeplasma_laidlawii,D-Glucose,Consumption (import),Microbe
85,Acholeplasma_laidlawii,L-Methionine,Consumption (import),Microbe
86,Achromobacter_piechaudii,Citrate,Consumption (import),Microbe
87,Achromobacter_piechaudii,D-Gluconate,Consumption (import),Microbe
88,Achromobacter_piechaudii,H2S,Production (export),Microbe
89,Achromobacter_piechaudii,Isovalerate,Consumption (import),Microbe
90,Achromobacter_piechaudii,Itaconate,Consumption (import),Microbe
91,Achromobacter_piechaudii,L-Tyrosine,Consumption (import),Microbe
92,Achromobacter_piechaudii,Malonate,Consumption (import),Microbe
93,Achromobacter_piechaudii,Nitrate,Consumption (import),Microbe
94,Achromobacter_piechaudii,Valerate,Consumption (import),Microbe
95,Achromobacter_xylosoxidans,D-Galactose,Consumption (import),Microbe
96,Achromobacter_xylosoxidans,D-Glucose,Consumption (import),Microbe
97,Achromobacter_xylosoxidans,D-Mannose,Consumption (import),Microbe
98,Achromobacter_xylosoxidans,D-Xylose,Consumption (import),Microbe
99,Acidaminococcus_fermentans,4-Aminobenzoate,Consumption (import),Microbe
100,Acidaminococcus_fermentans,Acetate,Production (export),Microbe
101,Acidaminococcus_fermentans,Adenosylcobalamin,Consumption (import),Microbe
102,Acidaminococcus_fermentans,Biotin,Consumption (import),Microbe
103,Acidaminococcus_fermentans,Butyrate,Production (export),Microbe
104,Acidaminococcus_fermentans,CO2,Production (export),Microbe
105,Acidaminococcus_fermentans,Citrate,Consumption (import),Microbe
106,Acidaminococcus_fermentans,H2,Production (export),Microbe
107,Acidaminococcus_fermentans,H2S,Production (export),Microbe
108,Acidaminococcus_fermentans,L-Arginine,Consumption (import),Microbe
109,Acidaminococcus_fermentans,L-Glutamate,Consumption (import),Microbe
110,Acidaminococcus_fermentans,L-Tryptophan,Consumption (import),Microbe
111,Acidaminococcus_fermentans,L-Valine,Consumption (import),Microbe
112,Acidaminococcus_fermentans,NH3,Production (export),Microbe
113,Acidaminococcus_fermentans,Pantothenic acid,Consumption (import),Microbe
114,Acidaminococcus_fermentans,Pyridoxal,Consumption (import),Microbe
115,Acidaminococcus_fermentans,cis-Aconitate,Consumption (import),Microbe
116,Acidimicrobium_ferrooxidans,CO2,Consumption (import),Microbe
117,Acidiphilium_cryptum,D-Glucose,Consumption (import),Microbe
118,Acidithiobacillus_caldus,Sulfate,Production (export),Microbe
119,Acidithiobacillus_caldus,Sulfur,Consumption (import),Microbe
120,Acidithiobacillus_caldus,Thiosulfate,Consumption (import),Microbe
121,Acidithiobacillus_ferrooxidans,CO2,Consumption (import),Microbe
122,Acidothermus_cellulolyticus,Cellulose,Macromolecule degradation,Microbe
123,Acidovorax_avenae,Adipate,Consumption (import),Microbe
124,Acidovorax_avenae,Caproate,Consumption (import),Microbe
125,Acidovorax_avenae,Citrate,Consumption (import),Microbe
126,Acidovorax_avenae,D-Arabinose,Consumption (import),Microbe
127,Acidovorax_avenae,D-Galactose,Consumption (import),Microbe
128,Acidovorax_avenae,D-Glucose,Consumption (import),Microbe
129,Acidovorax_avenae,D-Mannitol,Consumption (import),Microbe
130,Acidovorax_avenae,D-Ribose,Consumption (import),Microbe
131,Acidovorax_avenae,D-Sorbitol,Consumption (import),Microbe
132,Acidovorax_avenae,Ethanolamine,Consumption (import),Microbe
133,Acidovorax_avenae,Isobutyrate,Consumption (import),Microbe
134,Acidovorax_avenae,Isovalerate,Consumption (import),Microbe
135,Acidovorax_avenae,L-Arabitol,Consumption (import),Microbe
136,Acidovorax_avenae,L-Fucose,Consumption (import),Microbe
137,Acidovorax_avenae,L-Histidine,Consumption (import),Microbe
138,Acidovorax_avenae,L-Threonine,Consumption (import),Microbe
139,Acidovorax_avenae,L-Tryptophan,Consumption (import),Microbe
140,Acidovorax_avenae,Nitrate,Consumption (import),Microbe
141,Acidovorax_avenae,Pimelate,Consumption (import),Microbe
142,Acidovorax_avenae,cis-Aconitate,Consumption (import),Microbe
143,Acidovorax_avenae,meso-Tartrate,Consumption (import),Microbe
144,Acidovorax_delafieldii,Adipate,Consumption (import),Microbe
145,Acidovorax_delafieldii,Caproate,Consumption (import),Microbe
146,Acidovorax_delafieldii,Citrate,Consumption (import),Microbe
147,Acidovorax_delafieldii,D-Arabinose,Consumption (import),Microbe
148,Acidovorax_delafieldii,D-Galactose,Consumption (import),Microbe
149,Acidovorax_delafieldii,D-Glucose,Consumption (import),Microbe
150,Acidovorax_delafieldii,D-Mannitol,Consumption (import),Microbe
151,Acidovorax_delafieldii,D-Mannose,Consumption (import),Microbe
152,Acidovorax_delafieldii,D-Ribose,Consumption (import),Microbe
153,Acidovorax_delafieldii,D-Sorbitol,Consumption (import),Microbe
154,Acidovorax_delafieldii,Isobutyrate,Consumption (import),Microbe
155,Acidovorax_delafieldii,Isovalerate,Consumption (import),Microbe
156,Acidovorax_delafieldii,L-Arabitol,Consumption (import),Microbe
157,Acidovorax_delafieldii,L-Fucose,Consumption (import),Microbe
158,Acidovorax_delafieldii,L-Histidine,Consumption (import),Microbe
159,Acidovorax_delafieldii,L-Threonine,Consumption (import),Microbe
160,Acidovorax_delafieldii,L-Tryptophan,Consumption (import),Microbe
161,Acidovorax_delafieldii,Nitrate,Consumption (import),Microbe
162,Acidovorax_delafieldii,Pimelate,Consumption (import),Microbe
163,Acidovorax_delafieldii,cis-Aconitate,Consumption (import),Microbe
164,Acidovorax_delafieldii,meso-Tartrate,Consumption (import),Microbe
165,Acinetobacter_calcoaceticus,Triglyceride,Macromolecule degradation,Microbe
166,Acinetobacter_radioresistens,Triglyceride,Macromolecule degradation,Microbe
167,Actinobacillus_succinogenes,Cellobiose,Consumption (import),Microbe
168,Actinobacillus_succinogenes,D-Arabinose,Consumption (import),Microbe
169,Actinobacillus_succinogenes,D-Fructose,Consumption (import),Microbe
170,Actinobacillus_succinogenes,D-Glucose,Consumption (import),Microbe
171,Actinobacillus_succinogenes,D-Glucuronic acid,Consumption (import),Microbe
172,Actinobacillus_succinogenes,D-Mannitol,Consumption (import),Microbe
173,Actinobacillus_succinogenes,D-Sorbitol,Consumption (import),Microbe
174,Actinobacillus_succinogenes,D-Xylose,Consumption (import),Microbe
175,Actinobacillus_succinogenes,L-Arabitol,Consumption (import),Microbe
176,Actinobacillus_succinogenes,Lactose,Consumption (import),Microbe
177,Actinobacillus_succinogenes,Succinate,Production (export),Microbe
178,Actinomyces_coleocanis,Acetate,Production (export),Microbe
179,Actinomyces_coleocanis,Cellulose,Macromolecule degradation,Microbe
180,Actinomyces_coleocanis,L-Lactate,Production (export),Microbe
181,Actinomyces_coleocanis,Pectin,Macromolecule degradation,Microbe
182,Actinomyces_coleocanis,Xylan,Macromolecule degradation,Microbe
183,Actinomyces_oris,Acetate,Production (export),Microbe
184,Actinomyces_oris,Cellulose,Macromolecule degradation,Microbe
185,Actinomyces_oris,L-Lactate,Production (export),Microbe
186,Actinomyces_oris,Pectin,Macromolecule degradation,Microbe
187,Actinomyces_oris,Xylan,Macromolecule degradation,Microbe
188,Actinomyces_urogenitalis,Acetate,Production (export),Microbe
189,Actinomyces_urogenitalis,Cellulose,Macromolecule degradation,Microbe
190,Actinomyces_urogenitalis,L-Lactate,Production (export),Microbe
191,Actinomyces_urogenitalis,Pectin,Macromolecule degradation,Microbe
192,Actinomyces_urogenitalis,Xylan,Macromolecule degradation,Microbe
193,Actinomyces_viscosus,Acetate,Production (export),Microbe
194,Actinomyces_viscosus,Cellulose,Macromolecule degradation,Microbe
195,Actinomyces_viscosus,L-Lactate,Production (export),Microbe
196,Actinomyces_viscosus,Pectin,Macromolecule degradation,Microbe
197,Actinomyces_viscosus,Xylan,Macromolecule degradation,Microbe
198,Actinosynnema_mirum,Acetate,Consumption (import) (-),Microbe
199,Actinosynnema_mirum,Benzoate,Consumption (import) (-),Microbe
200,Actinosynnema_mirum,Cellobiose,Consumption (import),Microbe
201,Actinosynnema_mirum,Citrate,Consumption (import) (-),Microbe
202,Actinosynnema_mirum,D-Arabinose,Consumption (import),Microbe
203,Actinosynnema_mirum,D-Fructose,Consumption (import),Microbe
204,Actinosynnema_mirum,D-Galactose,Consumption (import),Microbe
205,Actinosynnema_mirum,D-Glucose,Consumption (import),Microbe
206,Actinosynnema_mirum,D-Mannitol,Consumption (import),Microbe
207,Actinosynnema_mirum,D-Mannose,Consumption (import),Microbe
208,Actinosynnema_mirum,D-Ribose,Consumption (import) (-),Microbe
209,Actinosynnema_mirum,D-Sorbitol,Consumption (import) (-),Microbe
210,Actinosynnema_mirum,D-Xylose,Consumption (import),Microbe
211,Actinosynnema_mirum,Dextrin,Consumption (import),Microbe
212,Actinosynnema_mirum,Erythritol,Consumption (import) (-),Microbe
213,Actinosynnema_mirum,Fructan,Macromolecule degradation (-),Microbe
214,Actinosynnema_mirum,Galactitol,Consumption (import) (-),Microbe
215,Actinosynnema_mirum,Glycerol,Consumption (import) (-),Microbe
216,Actinosynnema_mirum,Inositol,Consumption (import) (-),Microbe
217,Actinosynnema_mirum,L-Lactate,Consumption (import),Microbe
218,Actinosynnema_mirum,L-Malate,Consumption (import),Microbe
219,Actinosynnema_mirum,L-Rhamnose,Consumption (import),Microbe
220,Actinosynnema_mirum,Lactose,Consumption (import),Microbe
221,Actinosynnema_mirum,Maltose,Consumption (import),Microbe
222,Actinosynnema_mirum,Melibiose,Consumption (import),Microbe
223,Actinosynnema_mirum,Pyruvate,Consumption (import),Microbe
224,Actinosynnema_mirum,Raffinose,Consumption (import),Microbe
225,Actinosynnema_mirum,Ribitol,Consumption (import),Microbe
226,Actinosynnema_mirum,Starch,Macromolecule degradation,Microbe
227,Actinosynnema_mirum,Succinate,Consumption (import) (-),Microbe
228,Actinosynnema_mirum,Sucrose,Consumption (import),Microbe
229,Actinosynnema_mirum,Trehalose,Consumption (import),Microbe
230,Actinosynnema_mirum,meso-Tartrate,Consumption (import),Microbe
231,Aerococcus_viridans,Acetoin,Production (export) (-),Microbe
232,Aerococcus_viridans,Biotin,Consumption (import),Microbe
233,Aerococcus_viridans,Cellobiose,Consumption (import),Microbe
234,Aerococcus_viridans,D-Arabinose,Consumption (import),Microbe
235,Aerococcus_viridans,D-Fructose,Consumption (import),Microbe
